frame,num_detections,total_bbox_area_ratio,mean_bbox_area_ratio,max_bbox_area_ratio,total_crack_length_px,mean_crack_length_px,damage_density,mean_confidence,mean_uncertainty,severity_score,class_counts,blur_score,brightness_score,motion_score,reliability,video,lat,lon,ele,speed_kmh,heading,gps_distance_m
frame_000000.jpg,1,0.006988,0.006988,0.006988,1596.0,1596.0,0.004787,0.294189,0.0,0.353193,"{""alligator_crack"": 1}",1.0,1.0,1.0,1.0,12,12.91444285,77.52613533,757.1,0.0,343.34,0.0
frame_000001.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},1.0,1.0,1.0,1.0,12,12.91444292,77.52613531,757.1,0.03,343.34,0.01
frame_000002.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},1.0,1.0,1.0,1.0,12,12.91444299,77.52613529,757.11,0.06,343.34,0.02
frame_000003.jpg,1,0.009298,0.009298,0.009298,2335.0,2335.0,0.004787,0.338867,0.0,0.354232,"{""alligator_crack"": 1}",1.0,1.0,1.0,1.0,12,12.91444306,77.52613526,757.11,0.09,343.34,0.02
frame_000004.jpg,1,0.007146,0.007146,0.007146,1637.0,1637.0,0.004787,0.254639,0.0,0.353264,"{""alligator_crack"": 1}",1.0,1.0,1.0,1.0,12,12.91444314,77.52613524,757.12,0.12,343.34,0.03
frame_000005.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},1.0,1.0,1.0,1.0,12,12.91444321,77.52613522,757.12,0.15,343.34,0.04
frame_000006.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},1.0,1.0,1.0,1.0,12,12.91444328,77.5261352,757.12,0.18,343.34,0.05
frame_000007.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},1.0,1.0,1.0,1.0,12,12.91444335,77.52613518,757.13,0.21,343.34,0.06
frame_000008.jpg,1,0.009892,0.009892,0.009892,208.21,208.21,0.004787,0.34082,0.0,0.105342,"{""pothole"": 1}",1.0,1.0,1.0,1.0,12,12.91444342,77.52613515,757.13,0.24,343.34,0.07
frame_000009.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},1.0,1.0,1.0,1.0,12,12.91444349,77.52613513,757.14,0.27,343.34,0.07
frame_000010.jpg,1,0.008791,0.008791,0.008791,196.23,196.23,0.004787,0.262939,0.0,0.099042,"{""pothole"": 1}",1.0,1.0,1.0,1.0,12,12.91444356,77.52613511,757.14,0.3,343.34,0.08
frame_000011.jpg,1,0.00824,0.00824,0.00824,190.21,190.21,0.004787,0.416748,0.0,0.095876,"{""pothole"": 1}",1.0,1.0,1.0,1.0,12,12.91444364,77.52613509,757.14,0.33,343.34,0.09
frame_000012.jpg,1,0.009335,0.009335,0.009335,201.4,201.4,0.004787,0.453369,0.0,0.101791,"{""pothole"": 1}",1.0,1.0,1.0,1.0,12,12.91444371,77.52613507,757.15,0.36,343.34,0.1
frame_000013.jpg,1,0.008986,0.008986,0.008986,197.25,197.25,0.004787,0.279785,0.0,0.099626,"{""pothole"": 1}",0.9502,1.0,1.0,0.9751,12,12.91444378,77.52613504,757.15,0.39,343.34,0.11
frame_000014.jpg,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},0.9049,1.0,1.0,0.9525,12,12.91444385,77.52613502,757.16,0.42,343.34,0.12
frame_000015.jpg,1,0.009684,0.009684,0.009684,206.23,206.23,0.004787,0.295898,0.0,0.104286,"{""pothole"": 1}",0.8495,1.0,1.0,0.9248,12,12.91444392,77.526135,757.16,0.45,343.34,0.12
frame_000016.jpg,1,0.010236,0.010236,0.010236,212.62,212.62,0.004787,0.404541,0.0,0.107632,"{""pothole"": 1}",0.8102,1.0,0.8792,0.8809,12,12.91444399,77.52613498,757.16,0.48,343.34,0.13
frame_000017.jpg,1,0.008885,0.008885,0.008885,201.1,201.1,0.004787,0.325195,0.0,0.101444,"{""pothole"": 1}",0.7881,1.0,0.8067,0.8554,12,12.91444407,77.52613496,757.17,0.51,343.34,0.14
frame_000018.jpg,1,0.010838,0.010838,0.010838,218.21,218.21,0.004787,0.329346,0.0,0.11061,"{""pothole"": 1}",0.685,1.0,0.8645,0.8154,12,12.91444414,77.52613494,757.17,0.54,343.34,0.15
frame_000019.jpg,2,0.018812,0.009406,0.011343,407.2,203.6,0.009574,0.34668,0.088379,0.205778,"{""pothole"": 2}",0.7094,1.0,0.8522,0.8251,12,12.91444421,77.52613491,757.18,0.57,343.34,0.16
frame_000020.jpg,2,0.018511,0.009256,0.010838,403.94,201.97,0.009574,0.367065,0.000366,0.204061,"{""pothole"": 2}",0.8138,1.0,0.812,0.8693,12,12.91444428,77.52613489,757.18,0.6,343.34,0.17
frame_000021.jpg,1,0.010728,0.010728,0.010728,218.58,218.58,0.004787,0.536133,0.0,0.110737,"{""pothole"": 1}",0.9109,1.0,0.7807,0.9116,12,12.91444435,77.52613487,757.18,0.63,343.34,0.17
frame_000022.jpg,1,0.009004,0.009004,0.009004,200.55,200.55,0.004787,0.425293,0.0,0.101231,"{""pothole"": 1}",0.9219,1.0,0.7436,0.9097,12,12.91444442,77.52613485,757.19,0.66,343.34,0.18
frame_000023.jpg,2,0.017438,0.008719,0.010383,402.23,201.12,0.009574,0.344116,0.090942,0.202751,"{""pothole"": 2}",0.9215,1.0,0.747,0.9102,12,12.91444449,77.52613483,757.19,0.69,343.34,0.19
frame_000024.jpg,1,0.010599,0.010599,0.010599,218.01,218.01,0.004787,0.553711,0.0,0.110405,"{""pothole"": 1}",0.9331,1.0,0.7714,0.9209,12,12.91444457,77.5261348,757.2,0.72,343.34,0.2
frame_000025.jpg,1,0.010803,0.010803,0.010803,217.85,217.85,0.004787,0.587891,0.0,0.110418,"{""pothole"": 1}",0.9242,1.0,0.7627,0.9147,12,12.91444464,77.52613478,757.2,0.75,343.34,0.21
frame_000026.jpg,2,0.015193,0.007596,0.008946,380.62,190.31,0.009574,0.434937,0.040649,0.191274,"{""pothole"": 2}",0.9105,1.0,0.7187,0.899,12,12.91444471,77.52613476,757.2,0.78,343.34,0.22
frame_000027.jpg,1,0.011377,0.011377,0.011377,227.43,227.43,0.004787,0.52832,0.0,0.115317,"{""pothole"": 1}",0.9085,1.0,0.7171,0.8977,12,12.91444478,77.52613474,757.21,0.81,343.34,0.22
frame_000028.jpg,1,0.011564,0.011564,0.011564,225.64,225.64,0.004787,0.568848,0.0,0.114533,"{""pothole"": 1}",0.8633,1.0,0.777,0.887,12,12.91444485,77.52613472,757.21,0.84,343.34,0.23
frame_000029.jpg,1,0.010902,0.010902,0.010902,219.72,219.72,0.004787,0.580566,0.0,0.111368,"{""pothole"": 1}",0.9347,1.0,0.7739,0.9221,12,12.91444492,77.52613469,757.22,0.87,343.34,0.24
frame_000030.jpg,1,0.011393,0.011393,0.011393,224.72,224.72,0.004787,0.566895,0.0,0.114009,"{""pothole"": 1}",0.936,1.0,0.7359,0.9152,12,12.91444499,77.52613467,757.22,0.9,343.34,0.25
frame_000031.jpg,1,0.013916,0.013916,0.013916,249.13,249.13,0.004787,0.543945,0.0,0.126968,"{""pothole"": 1}",0.9056,1.0,0.7605,0.9049,12,12.91444502,77.52613474,757.21,0.9,335.11,0.26
frame_000032.jpg,1,0.013933,0.013933,0.013933,246.6,246.6,0.004787,0.616211,0.0,0.125753,"{""pothole"": 1}",0.773,1.0,0.7004,0.8266,12,12.91444504,77.52613482,757.21,0.9,326.17,0.27
frame_000033.jpg,1,0.013405,0.013405,0.013405,241.02,241.02,0.004787,0.443604,0.0,0.122811,"{""pothole"": 1}",0.6257,1.0,0.6902,0.7509,12,12.91444506,77.5261349,757.2,0.9,317.22,0.27
frame_000034.jpg,1,0.015111,0.015111,0.015111,259.7,259.7,0.004787,0.530273,0.0,0.132626,"{""pothole"": 1}",0.6307,1.0,0.6959,0.7545,12,12.91444508,77.52613497,757.19,0.9,308.27,0.28
frame_000035.jpg,1,0.015618,0.015618,0.015618,263.8,263.8,0.004787,0.536133,0.0,0.134838,"{""pothole"": 1}",0.6857,1.0,0.6789,0.7786,12,12.9144451,77.52613505,757.18,0.91,299.32,0.29
frame_000036.jpg,1,0.015934,0.015934,0.015934,264.82,264.82,0.004787,0.438721,0.0,0.135478,"{""pothole"": 1}",0.6914,1.0,0.6534,0.7764,12,12.91444513,77.52613513,757.18,0.91,290.38,0.3
frame_000037.jpg,1,0.014648,0.014648,0.014648,253.21,253.21,0.004787,0.597168,0.0,0.129275,"{""pothole"": 1}",0.8423,1.0,0.6689,0.8549,12,12.91444515,77.5261352,757.17,0.91,281.43,0.31
